"","uid_max","visitor_access_level","total_days","other.web.sites","search.engines","social.networks","typed_bookmarked","Purchase.IDs","product","last_touch_referrer"
"2686","6263473854802560112_4073278575065840959","anonymous",3,0,2,0,1,"D6108702","Premium (Digital + Print)","search engines"
"2687","6272270798074693043_6668050671799459912","anonymous",2,1,1,0,0,"D5938701","Premium (Digital + Print)","other web sites"
"2688","6279492636982599918_7567938355825410346","anonymous",1,0,0,0,1,"D6273917","Digital Only - Annual","typed/bookmarked"
"2689","6286033224989888013_583227239427676123","anonymous",1,0,1,0,0,"D5947795","Premium (Digital + Print)","search engines"
"2690","6287547085831940966_3629345500851022310","anonymous",2,1,1,0,2,"D6079230","Premium (Digital + Print)","other web sites"
"2691","6288459517369716693_1712486137805653815","anonymous",1,0,0,0,1,"D6305681","Premium (Digital + Print)","typed/bookmarked"
"2692","628978","subscribed",6,0,2,0,5,"D6089445","Premium (Digital + Print)","typed/bookmarked"
"2693","6298009997907683169_1258190776257540378","reg",2,4,0,0,0,"D5925646","Digital Only - Monthly","other web sites"
"2694","629818","anonymous",1,0,1,0,0,"D5947805","Digital Only - Monthly","search engines"
"2695","630717","subscribed",4,0,0,0,4,"D6269634","All Access","typed/bookmarked"
"2696","6308823051939463890_5628093750765126091","anonymous",1,0,1,0,0,"D6002895","Premium (Digital + Print)","search engines"
"2697","6317769511888180675_7286129140588114983","anonymous",1,1,0,0,0,"D6076343","Digital Only - Monthly","other web sites"
"2698","6318440274010497122_6638034274236899786","anonymous",1,0,1,0,0,"D5941383","Digital Only - Annual","search engines"
"2699","632000","reg",1,0,0,0,1,"D6176480","Digital Only - Monthly","typed/bookmarked"
"2700","632465","subscribed",3,3,1,0,0,"D6031348","Digital Only - Monthly","search engines"
"2701","6325237196878350668_7941065147206127229","anonymous",1,0,1,0,0,"D6214938","All Access","search engines"
"2702","633751","reg",1,0,1,0,0,"D6275415","Digital Only - Annual","search engines"
"2703","6340654760005416561_6686135096171139020","reg",6,0,0,0,6,"D6296577","Digital Only - Monthly","typed/bookmarked"
"2704","6341652698214100747_2150921182193427622","anonymous",2,0,0,2,0,"D6227931","Digital Only - Annual","social networks"
"2705","634735","subscribed",10,1,2,0,11,"D5941410","Digital Only - Annual","typed/bookmarked"
"2706","6350105579130076198_4145171273078154870","anonymous",1,0,2,0,0,"D6042868","Digital Only - Monthly","search engines"
"2707","635185","reg",2,0,0,0,2,"D6250527","Digital Only - Annual","typed/bookmarked"
"2708","635278","subscribed",51,177,2,0,25,"D6094992","Digital Only - Monthly","search engines"
"2709","636717","reg",2,0,0,0,2,"D6161338","Digital Only - Annual","typed/bookmarked"
"2710","6382951988768639027_7437406700887492855","anonymous",1,0,0,0,1,"D5940335","Digital Only - Monthly","typed/bookmarked"
"2711","6400589713432281529_24354661609063688","anonymous",1,0,1,0,0,"D6246688","Digital Only - Annual","search engines"
"2712","640565","reg",3,0,3,0,2,"D6204605","Digital Only - Annual","search engines"
"2713","6410365851085993628_8530349191465181377","anonymous",3,0,1,0,2,"D6207518","Digital Only - Monthly","typed/bookmarked"
"2714","641309","reg",1,0,1,0,0,"D6079382","Digital Only - Annual","search engines"
"2715","641500","reg",1,0,1,0,0,"D6296265","Premium (Digital + Print)","search engines"
